,id,brand,category,colorway,condition,countryOfManufacture,dataType,listingType,minimumBid,gender,name,productCategory,releaseDate,belowRetail,lowestAskThresholdMet,retailPrice,shoe,shortDescription,styleId,title,lowestAsk,lowestAskSize,numberOfAsks,hasAsks,salesThisPeriod,salesLastPeriod,highestBid,highestBidSize,numberOfBids,hasBids,annualHigh,annualLow,deadstockRangeLow,deadstockRangeHigh,volatility,deadstockSold,pricePremium,averageDeadstockPrice,lastSale,lastSaleSize,salesLast72Hours,changeValue,changePercentage,absChangePercentage,totalDollars,lastLowestAskTime,lastHighestBidTime,lastSaleDate,deadstockSoldRank,pricePremiumRank,averageDeadstockPriceRank
0,,adidas,Yeezy Slides,Onyx/Onyx/Onyx,New,CN,product,standard,1.0,men,Onyx,sneakers,2022-03-07,False,True,60.0,adidas Yeezy Slide,adidas-Yeezy-Slide-Black,HQ6448,adidas Yeezy Slide Onyx,144.0,4.0,1258.0,1,226.0,232.0,275.0,14.0,448.0,1,575.0,57.0,153,217,0.174125,119518.0,2.083,149.0,185.0,7.0,226.0,-51,-0.216102,0.216102,17770028.0,1677181025,1677413551,2023-02-26T18:21:33Z,0,52,89
1,,adidas,adidas Yeezy,Copper Fade/Copper Fade/Copper Fade,New,CN,product,standard,1.0,men,Copper Fade,sneakers,2021-12-10,True,True,200.0,adidas Yeezy 700 V3,adidas-Yeezy-700-V3-Copper-Fade,GY4109,adidas Yeezy 700 V3 Copper Fade,174.0,5.5,467.0,1,22.0,10.0,199.0,12.0,163.0,1,379.0,111.0,185,226,0.0,2875.0,-0.051,205.0,190.0,12.5,22.0,4,0.020861,0.020861,590654.0,1676946461,1677252231,2023-02-24T14:57:10Z,42,86,18
2,,adidas,adidas Yeezy,Ash Grey/Ash Grey/Ash Grey,New,CN,product,standard,1.0,men,Ash Grey,sneakers,2021-12-04,False,True,200.0,adidas Yeezy 500,adidas-Yeezy-500-Ash-Grey,GX3607,adidas Yeezy 500 Ash Grey,235.0,9.5,366.0,1,10.0,8.0,245.0,8.5,182.0,1,370.0,130.0,230,278,0.094568,2240.0,0.27,242.0,254.0,6.0,10.0,44,0.209524,0.209524,541689.0,1677414871,1677076742,2023-02-26T02:49:23Z,81,45,80
3,,adidas,adidas Yeezy,Metallic/Metallic/Metallic,New,CN,product,standard,1.0,men,Metallic,sneakers,2021-12-20,False,True,220.0,adidas Yeezy Boost 700 MNVN,adidas-Yeezy-Boost-700-MNVN-Metallic,GW9524,adidas Yeezy Boost 700 MNVN Metallic,226.0,9.0,157.0,1,6.0,5.0,220.0,12.0,111.0,1,399.0,63.0,124,198,0.228627,1613.0,-0.268,243.0,161.0,14.0,6.0,-27,-0.146731,0.146731,391878.0,1676866677,1677014305,2023-02-23T00:46:51Z,49,75,47
4,,adidas,adidas Yeezy,Enflame Amber/Orange,New,CN,product,standard,1.0,men,Enflame Amber,sneakers,2021-06-11,False,True,240.0,adidas Yeezy Boost 700,adidas-Yeezy-Boost-700-Enflame-Amber,GW0297,adidas Yeezy Boost 700 Enflame Amber,258.0,9.0,391.0,1,3.0,7.0,302.0,7.0,155.0,1,580.0,180.0,231,289,0.11129,1656.0,0.083,298.0,260.0,8.5,3.0,-45,-0.147541,0.147541,493982.0,1677429009,1676726722,2023-02-26T12:59:51Z,46,51,61
5,,adidas,adidas Yeezy,Slate Blue/Slate Blue/Slate Blue,New,CN,product,standard,1.0,men,Slate Blue,sneakers,2021-12-18,True,True,300.0,adidas Yeezy BSKTBL Knit,adidas-YZY-BSKTBL-KNIT-3D-Slate-Blue,GV8294,adidas Yeezy BSKTBL Knit Slate Blue,119.0,7.5,160.0,1,2.0,3.0,130.0,11.5,104.0,1,540.0,61.0,41,119,0.482463,356.0,-0.733,189.0,80.0,7.5,2.0,-69,-0.463087,0.463087,67116.0,1676965853,1676955274,2023-02-19T16:55:06Z,37,5,23
7,,adidas,adidas Yeezy,Hylte/Hylte/Hylte,New,CN,product,standard,1.0,men,Hylte,sneakers,2020-12-12,True,True,230.0,adidas Yeezy Boost 380,adidas-Yeezy-Boost-380-Hylte-Glow-Reflective,FZ4990,adidas Yeezy Boost 380 Hylte,150.0,6.0,235.0,1,0.0,3.0,147.0,14.0,129.0,1,293.0,68.0,150,183,0.0,298.0,-0.478,166.0,120.0,11.0,0.0,-55,-0.314286,0.314286,49487.0,1676878322,1676648832,2023-02-22T03:39:02Z,54,41,10
8,,adidas,adidas Yeezy,Static/Static/Static,New,CN,product,standard,1.0,infant,Static (Infants),sneakers,2022-08-02,True,True,160.0,adidas Yeezy Boost 700 V2,adidas-Yeezy-Boost-700-V2-Static-Infants,HQ6967,adidas Yeezy Boost 700 V2 Static (Infants),130.0,,119.0,1,0.0,0.0,120.0,,32.0,1,243.0,60.0,173,209,0.093983,125.0,0.197,158.0,192.0,,0.0,24,0.139625,0.139625,19789.0,1676941425,1677441578,2023-02-20T22:16:55Z,76,84,95
11,,adidas,adidas Yeezy,Yeshaya/Yeshaya/Yeshaya,New,CN,product,standard,1.0,preschool,Yeshaya (Kids),sneakers,2020-01-25,False,True,160.0,adidas Yeezy Boost 350 V2,adidas-Yeezy-Boost-350-V2-Yeshaya-Kids,FX4351,adidas Yeezy Boost 350 V2 Yeshaya (Kids),220.0,1.0,28.0,1,0.0,0.0,181.0,3.5,29.0,1,546.0,185.0,328,478,0.185785,23.0,1.519,295.0,403.0,3.0,0.0,180,0.807175,0.807175,6784.0,1676265438,1674369108,2023-01-11T10:48:54Z,72,20,43
12,,Nike,Nike Other Premium,Red,New,CN,product,standard,1.0,men,Red October,sneakers,2014-02-09,False,True,250.0,Nike Air Yeezy 2,Nike-Air-Yeezy-2-Red-October,508214-660,Nike Air Yeezy 2 Red October,14500.0,13.0,48.0,1,0.0,0.0,8888.0,11.0,112.0,1,26216.0,9995.0,6201,15799,0.436283,13.0,43.0,16355.0,11000.0,14.0,0.0,-4000,-0.266667,0.266667,212613.0,1677250502,1677248503,2023-01-26T18:40:18Z,30,39,56
