,minimumBid,belowRetail,lowestAskThresholdMet,retailPrice,lowestAsk,lowestAskSize,numberOfAsks,hasAsks,salesThisPeriod,salesLastPeriod,highestBid,highestBidSize,numberOfBids,hasBids,annualHigh,annualLow,deadstockRangeLow,deadstockRangeHigh,volatility,deadstockSold,pricePremium,averageDeadstockPrice,lastSale,lastSaleSize,salesLast72Hours,changeValue,changePercentage,absChangePercentage,totalDollars,lastLowestAskTime,lastHighestBidTime,deadstockSoldRank,pricePremiumRank,averageDeadstockPriceRank,brand_dummy
minimumBid,1.0,-0.09566807697649699,3.365184701171238e-17,-0.15821689527335095,-0.027482674186342607,0.07284929004799891,-0.09210151639275711,-0.2165645684645232,-0.0450770294974887,-0.03946068297665869,-0.051352640042358524,-0.17533972888774163,-0.16223407843153992,0.027646540655045702,-0.04062764359369743,-0.01611469776013009,-0.05552958164514586,-0.0398639164132808,0.05841120419195185,-0.04110600093784889,-0.04259364032730979,-0.029407551506349095,-0.035781841402919644,0.11728521699303329,-0.0450770294974887,0.00819277098423821,0.01940362485374646,0.15754849089714995,-0.042891434394640306,-0.21662285796434608,-0.32372810860338935,-0.03848056324590109,-0.17768974817867686,0.03898597734931559,-0.15090142340027216
belowRetail,-0.09566807697649699,1.0,-0.427617987059879,0.1517058520076771,-0.16655042485581945,-0.0646846227353151,-0.07454580698585307,0.006398930756905198,-0.1104869763915971,-0.10995186555765513,-0.1730755358306356,-0.14655151537252611,-0.14119371213722118,0.006398930756904623,-0.14021167050480163,-0.1409722419662708,-0.18168974651403905,-0.1507496079976986,0.12173261986585936,-0.1339001763482473,-0.21203729160075863,-0.13637223589007239,-0.1643666873740761,-0.03708505342139057,-0.1104869763915971,0.029759057723520232,-0.13461999629100496,-0.10151434155479988,-0.14269311239044152,0.006729491071185669,0.08436166573873008,-0.025230216940273918,0.034850696560642554,-0.06895371360408137,-0.021798344390792736
lowestAskThresholdMet,3.365184701171238e-17,-0.427617987059879,1.0,0.2709113941375903,0.12596774647472647,0.11598244760749504,0.08089059209330347,0.15961737689352434,0.09459362775786355,0.086398714827895,0.14252830461941288,0.0410456335061492,0.24331478515972343,-0.079808688446762,0.11445286436618726,0.1044284795061783,0.15434951159519097,0.12155448487128197,-0.04333725678889278,0.09574240190483924,0.14855339288295774,0.1070085932801363,0.13235237781438275,-0.025758361096412594,0.09459362775786355,-0.018181231625736597,0.15923844908743223,0.11043684955281612,0.10837275752487854,0.15994932183041033,-0.05922044835547423,0.011050498212230673,-0.004718915544765313,-0.03929901795621128,-0.12975762594653467
retailPrice,-0.15821689527335095,0.1517058520076771,0.2709113941375903,1.0,0.19163280252502007,-0.09084633393023495,-0.021950429594302615,0.16817507555919567,0.04450336236881002,-0.024529603894673912,0.27822838086763735,0.041901014681129445,0.30004369374360707,0.037175280211942004,0.2624920864105313,0.20898729367807595,0.22882162294372133,0.23831148752219572,0.19377896594521057,-0.12186268371036817,0.17169736243895048,0.22402614775716304,0.2368752373124697,-0.06839906200272228,0.04450336236881002,-0.15336983316083397,-0.05353193240640701,0.06633097298161278,-0.09867566646971049,0.1680950496235295,-0.00040172398076663825,-0.07651222315070122,-0.03872904525949336,0.05114483796207036,-0.172523246855867
lowestAsk,-0.027482674186342607,-0.16655042485581945,0.12596774647472647,0.19163280252502007,1.0,0.1355226899812165,-0.04621996137606402,0.02771261557342739,-0.008027411433350236,-0.013840425430224054,0.9538734141974633,0.03633891479552202,0.04602954054519443,0.015708907937609134,0.9735589423909715,0.9888188900075273,0.9726673358783416,0.9787057845074759,0.1595088280332148,-0.021093937444278506,0.9621105959497694,0.9842164931560993,0.9855930978635643,0.18928358666133713,-0.008027411433350236,-0.88021161517329,-0.0406853278308058,0.015008462560527302,-0.01168204339319054,0.027841956460465226,0.00914324602442768,-0.042626685983404064,-0.02420096828030475,0.05831023498753032,-0.04133362823778118
lowestAskSize,0.07284929004799891,-0.0646846227353151,0.11598244760749504,-0.09084633393023495,0.1355226899812165,1.0,-0.2117010478888439,,-0.19126776315835417,-0.14781277777777996,0.11487546290929393,-0.10423520316464593,-0.1861798259566644,-0.07961881286146144,0.12073487748768891,0.1424014715571347,0.13386749400336037,0.13448262713673587,-0.021701121938319308,-0.17083146835719296,0.13329957188335573,0.1364687485929859,0.1342344420514401,0.2276914023753395,-0.19126776315835417,-0.14791014848343073,-0.07377164885539152,-0.06791930063749652,-0.1716112728494495,-0.19377857859307962,-0.04287653704035525,0.006107858875384143,-0.017810553018536898,-0.048997564583425954,0.015182348857400736
numberOfAsks,-0.09210151639275711,-0.07454580698585307,0.08089059209330347,-0.021950429594302615,-0.04621996137606402,-0.2117010478888439,1.0,0.05618421124072504,0.9096909970150306,0.9278572151828599,-0.02223766152616845,0.05961139441270465,0.7718145157717434,0.05072621181874113,-0.01773049757470304,-0.036085038608694234,-0.024269454233761912,-0.04031713782044471,-0.17300879008840211,0.8055205971457713,-0.02759481723616073,-0.030668905177047706,-0.03933321170334337,-0.059747793515611054,0.9096909970150306,0.010905243617939977,-0.08266669783907561,-0.14060990211755633,0.8547532304584028,0.056972883960398735,0.03975236447249527,0.0478295505109416,0.06776891045971871,-0.04747590360770124,0.08971629832684458
hasAsks,-0.2165645684645232,0.006398930756905198,0.15961737689352434,0.16817507555919567,0.02771261557342739,,0.05618421124072504,1.0,0.021749537051425804,0.018879423222612008,0.02129312472020628,0.09063682909133292,0.08561651378241389,-0.01273885350318496,0.02255585612420835,0.008791822861229455,0.042250358182239205,0.029476244603124917,0.14945365393348212,0.019135850981293317,0.019772259524539256,0.016163701445914787,0.019242522504136127,-0.033707368435640477,0.021749537051425804,-0.005034813378145301,0.02054730542587322,0.09355242980304118,0.019922225329479657,0.9999716649758575,-0.009447055834577776,0.016618001275898117,-0.05185926041343178,0.0768045373362001,0.030327658832365097
salesThisPeriod,-0.0450770294974887,-0.1104869763915971,0.09459362775786355,0.04450336236881002,-0.008027411433350236,-0.19126776315835417,0.9096909970150306,0.021749537051425804,1.0,0.9809460893339577,0.019872583251547504,0.10606973991901532,0.7540985861567829,0.021749537051425998,0.030872303568918895,-0.00026953233088976796,0.02451876500427264,-0.003743826578351069,-0.11004713513848015,0.7517773199771112,0.0006653369424158616,0.003012009513695633,0.0030687678856358615,-0.09714079809264188,1.0,0.025671680480014218,-0.028339183364775977,-0.07532504775548796,0.8149697273931001,0.02223202792260826,0.016173487126378835,0.05307339093502145,0.05183590039268607,-0.05744839957072268,0.022196898717692173
salesLastPeriod,-0.03946068297665869,-0.10995186555765513,0.086398714827895,-0.024529603894673912,-0.013840425430224054,-0.14781277777777996,0.9278572151828599,0.018879423222612008,0.9809460893339577,1.0,0.0018153427669297328,0.025105431767273475,0.6825220034495967,0.01887942322261225,0.009985570367545743,-0.008013344774797575,0.003556677373544736,-0.012172191301773938,-0.10411642524592948,0.7876191259938602,-0.0015134883820659656,-0.006050223768548822,-0.008814315829272657,-0.127628694808888,0.9809460893339574,0.01282840948531771,-0.03916795546842038,-0.07193476045337462,0.8509014236697178,0.01928336568726821,0.014038860484179407,0.06562955724246423,0.05069086909060589,-0.06122357280827789,0.005167033844051259
